row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
46,,,,,,,,,,,,,,,,,,A,C,B,C,C,C,C,B,C,B,C,B,C,B,A,A,A,A,A,A,A,A,C,B,B,B,B,A,,,A,A,,,,,,,,,,,A,A,A,A,A,F,F,F,F,A,A,G,A,F,F,F,F,B,B,B,B,A,B,B,B,B,B,B,B,A,A,B,B,B,J,A,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,A,A,C,C,C,C,C,C,B,C,A,A,A,C,B,C,C,C,C,C,C,A,A,A,B,B,A,,A,F,A,,,,,,A,,,,,A,A,F,F,F,F,F,F,F,A,G,A,F,F,F,F,A,C,B,A,B,B,A,A,B,B,B,B,A,A,D,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,A,A,A,A,A,A,A,A,A,B,C,C,C,C,C,C,C,C,C,C,C,B,A,C,B,A,A,F,F,A,,,,,A,A,A,A,A,A,F,A,A,A,F,F,F,A,A,A,F,F,F,F,F,A,B,B,B,B,B,D,D,A,A,A,A,D,D,D,B,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,A,A,A,A,A,A,A,,,,,,,,,A,C,C,C,C,C,C,B,A,A,A,A,A,C,B,B,C,A,C,C,A,F,F,A,A,,,,,F,F,F,F,F,F,F,F,F,A,A,A,A,F,F,F,F,F,F,A,D,A,B,B,A,B,D,D,D,D,D,D,D,D,A,B,B,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,A,C,C,C,C,C,C,B,A,A,A,A,A,A,A,A,B,C,C,C,C,B,A,A,B,B,B,B,B,B,A,B,B,B,B,B,A,F,F,F,A,A,,D,A,A,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,A,D,D,D,A,A,D,D,A,A,D,D,D,D,D,A,B,A,B,B,B,A,A,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,A,C,C,C,C,C,C,C,B,C,C,A,A,A,A,B,C,C,C,C,C,A,A,B,B,B,B,B,A,A,A,A,A,A,B,B,A,B,A,F,F,F,H,A,A,A,,A,A,F,F,F,F,F,F,A,A,F,F,F,F,F,F,A,A,D,A,D,D,A,A,D,D,D,D,D,D,D,D,A,K,B,B,B,C,B,A,A,A,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,J,A,B,A,A,A,A,A,C,C,C,C,B,C,C,C,C,C,C,C,B,A,A,B,B,B,B,A,A,A,C,C,C,C,C,C,A,B,B,B,B,F,F,F,F,F,F,A,A,A,A,A,A,F,F,A,A,F,F,F,F,F,F,A,A,A,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,B,B,A,B,B,B,C,B,A,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,K,A,B,A,,,,,A,A,A,C,C,C,B,C,C,B,B,C,A,A,B,B,B,B,B,A,C,C,C,C,C,C,C,C,C,C,C,A,B,B,A,F,F,F,F,F,A,F,F,F,F,F,A,H,F,F,A,A,A,A,A,A,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,B,A,A,B,B,A,A,A,B,A,,,,,,,,,,,,,,,,,,,,
54,,,,,,,K,A,A,,,,,,,,,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,A,C,C,C,C,C,C,C,C,C,C,C,B,B,A,B,B,A,A,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,A,A,D,A,D,D,A,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,B,A,A,D,A,B,C,A,,A,A,A,,,,,,,,,,,,,,,,,,,
55,,,,,,,K,A,,,,,,,,,,,,,,A,A,A,B,B,B,B,B,B,B,A,B,C,C,C,C,B,A,A,A,A,A,A,B,B,A,A,A,D,D,D,D,D,D,A,A,A,F,F,F,F,F,F,A,A,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,B,B,D,D,A,B,B,A,,,A,,,,,,,,,,,,,,,,,,,
